Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Seller Comments
2018 Honda Brio VX AT,"Prahlad Nagar, Ahmedabad",Jan 2018,"54,700 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.5 Lakh, 
2017 Honda Brio VX AT,"Andheri (E), Mumbai",Feb 2017,"5,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.6 Lakh,1) Car is excellent condition 2) 100% Non accidental Car 3) Genuine KMS Running 4) All cars are certified 5) Full Service Record Available 6) 6 month Engine & Gear Box Warranty 
2017 Honda Brio VX AT,"Prahlad Nagar, Ahmedabad",Jan 2017,"54,400 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 5.35 Lakh, 
2015 Honda Brio VX AT,"Ashram Road, Ahmedabad",Jun 2015,"69,073 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh,Brio Automatic 
2015 Honda Brio VX AT,"Shyam Nagar, Jaipur",Jun 2015,"34,892 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh, 
2015 Honda Brio S MT,"Shipra Sun City, Ghaziabad",Jun 2015,"53,322 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.98 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2015 Honda Brio S MT,"Inderpura, Surat",Jun 2015,"49,704 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh, 
2014 Honda Brio EX MT,"Azad Nagar, Mumbai",Jan 2014,"26,004 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,,₹ 3.55 Lakh,"Honda certified car with OEM Warranty Leather interior Company fitted music system Power windows Dents on the roof, Scratches on the front bumper, Scratches on the front right door, Dents on the right running board, Scratches on the right running board, Scratches on the rear right door, Dents on the right quarter panel, Scratches on the rear bumper, Scratches on the rear left door, Scratches on the front left door, Scratches on the left fender, "
2014 Honda Brio VX AT,"Lajpat Nagar, Delhi",Jun 2014,"50,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.95 Lakh,"Certified Car, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Roadside Assistance Available, Service History Available, Test Drive Available & Warranty Available "
2013 Honda Brio S MT,"Dada Ghosh Bhawan, Delhi",Jun 2013,"69,000 km",Petrol,Manual,First,,,,,₹ 2.5 Lakh,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available, pre-owned, temper free, price negotiable,all original, "
2015 Honda Brio VX AT,"Athwa, Surat",Jun 2015,"98,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.8 Lakh,"Excellent Condition, Single Owner, Alloy Wheels, Finance Available & Test Drive Available "
2013 Honda Brio S MT,"Azad Nagar, Mumbai",Sep 2013,"33,700 km",Petrol,Manual,First,,,,,₹ 3 Lakh, 
2013 Honda Brio VX MT,"Sector 10, Noida",Jun 2013,"89,000 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 2.75 Lakh,"Very Good Condition, Non Accidental, Original Paint, Finance Available, Alloy Wheels, Service History Available & Test Drive Available, temper free, well maintained price negotiable "
2012 Honda Brio S MT,"Chunni Ganj, Kanpur",Jun 2012,"68,000 km",Petrol,Manual,Second,,,,,₹ 2.15 Lakh,"Less Driven, Non Accidental, Original Paint, Finance Available & Test Drive Available "
2014 Honda Brio VX AT,"Mulund (W), Mumbai",Jun 2014,"51,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.5 Lakh,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Finance Available, Roadside Assistance Available, Service History Available & Test Drive Available "
2013 Honda Brio S MT,"Shipra Sun City, Ghaziabad",Jun 2013,"56,000 km",Petrol,Manual,First,,,,,₹ 3.5 Lakh,EXCELLENT CAR 
2017 Honda Brio S MT,"Dapodi, Pune",Jun 2017,"59,123 km",Petrol,Manual,First,18.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.25 Lakh,"Immaculate Condition, Original Paint, Non Accidental, Certified Car, Less Driven, Single Owner, Finance Available, Roadside Assistance Available, Service History Available, Test Drive Available, VIP Number & Warranty Available "
2014 Honda Brio S MT,"Atlardra, Vadodara",Apr 2014,"53,747 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.75 Lakh,"Non Accidental, Single Owner, Excellent Condition, Less Driven, Original Paint, Finance Available & Test Drive Available "
2012 Honda Brio S MT,"Sector-16, Noida",Jun 2012,"64,000 km",Petrol,Manual,First,,,,,₹ 2.75 Lakh,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Finance Available, Service History Available & Test Drive Available, temper free,well maintained, price negotiable, "
2015 Honda Brio S MT,"Colaba, Mumbai",Jun 2015,"14,267 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.85 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2015 Honda Brio VX MT,"Saidapet Madras, Chennai",Jun 2015,"52,044 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.25 Lakh,"VJ CARS is an ISO 9001 : 2015 Certified Pre-Owned Cars Retail Showroom with a sprawling display of around 25000 sq. ft in the heart of Chennai City at Saidapet. We have built a reputation for offering luxury and mid-segment premium cars at a fair price with more than 70 to 100Certified and Pre-Quality Checked Cars on display. We have lined up an exceptional quality of our carefully curated and certified pre-owned cars ensuring all our Cars are Non-Accidental, Non-Flooded, RTO checked with careful screening of all original documents etc. Periodical Service and Insurance History is evidently verified before procuring all our Cars as we strive to give our clients impeccably well-maintained cars. We are pioneering to follow a Fixed Price Policy to relieve our clients from the hassle and stress of negotiating and in this process also assuring our clients a fair pricing for all your purchases to set a new trend in this traditionally tricky market and create a benchmark for the new generation of buyers. We pride ourselves on offering our clientele a Transparent, Responsive, Competent and an Effortless Ownership Experience with clear Pre&Post Sale Documentation with Secured Bank Funding options at the lowest interest rates. Get in touch with us to Feel and Drive the Difference. Flagship Showroom at # 62, Jeenis Road, Saidapet Chennai - 15 (Opp. Saidapet Post Office). VJ CARS charges ZERO Commission on Sales. WARRANTY VALID:N/A REG:19/OCT/2015 "
2014 Honda Brio VX AT,"Athwa, Surat",Jun 2014,"82,000 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.39 Lakh,"Very Good Condition, Certified Car, Original Paint, Single Owner, Finance Available & Test Drive Available "
2013 Honda Brio E MT,"Kanwar Nagar, Jaipur",Jun 2013,"91,811 km",Petrol,Manual,First,,,,,₹ 2.7 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"66,344 km",Petrol,Manual,First,,,,,₹ 3.39 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2012,"1,08,907 km",Petrol,Manual,First,,,,,₹ 3.37 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2013 Honda Brio EX MT,"Bakaram, Hyderabad",Jun 2013,"70,839 km",Petrol,Manual,Third,,,,,₹ 2.83 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"East Kolkata Twp, Kolkata",Jun 2012,"74,000 km",Petrol,Manual,Second,,,,,₹ 2.06 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2016 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2016,"36,685 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.53 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2018 Honda Brio S (O)MT,"J 6Block Rajouri Garden, Delhi",Jun 2018,"80,001 km",Petrol,Manual,First,18.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.45 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Colaba, Mumbai",Jun 2012,"66,723 km",Petrol,Manual,First,,,,,₹ 2.46 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Colaba, Mumbai",Jun 2012,"65,930 km",Petrol,Manual,First,,,,,₹ 2.84 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2018 Honda Brio S (O)MT,"Colaba, Mumbai",Jun 2018,"2,032 km",Petrol,Manual,First,18.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.53 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Colaba, Mumbai",Jun 2012,"46,435 km",Petrol,Manual,Second,,,,,₹ 2.48 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"90,655 km",Petrol,Manual,First,,,,,₹ 3.34 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2016 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2016,"54,452 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.71 Lakh,"MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"". "
2015 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2015,"73,831 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.5 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Lohegaon, Pune",Jun 2012,"60,121 km",Petrol,Manual,Second,,,,,₹ 2.39 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"University Campus, Rajkot",Jun 2012,"59,411 km",Petrol,Manual,First,,,,,₹ 2.79 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Colaba, Mumbai",Jun 2012,"62,514 km",Petrol,Manual,First,,,,,₹ 2.61 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2014 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2014,"47,690 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.8 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio EX MT,"G.P.O, Kochi",Jun 2013,"1,24,630 km",Petrol,Manual,First,,,,,₹ 3.22 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"74,376 km",Petrol,Manual,First,,,,,₹ 3.61 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio E MT,"J 6Block Rajouri Garden, Delhi",Jun 2013,"70,311 km",Petrol,Manual,First,,,,,₹ 2.39 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"29,291 km",Petrol,Manual,First,,,,,₹ 3.64 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2013,"49,623 km",Petrol,Manual,First,,,,,₹ 3.72 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2012,"97,817 km",Petrol,Manual,Third,,,,,₹ 2.68 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Colaba, Mumbai",Jun 2012,"61,298 km",Petrol,Manual,First,,,,,₹ 2.62 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"41,014 km",Petrol,Manual,First,,,,,₹ 3.69 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2016 Honda Brio S MT,"Lohegaon, Pune",Jun 2016,"34,231 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.49 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2013,"64,679 km",Petrol,Manual,Second,,,,,₹ 3.09 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2015 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2015,"45,696 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.21 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2018 Honda Brio VX AT,"Banaswadi, Bangalore",Jun 2018,"50,130 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 6.13 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio VX MT,"J 6Block Rajouri Garden, Delhi",Jun 2013,"43,166 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.28 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2015 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2015,"45,696 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.21 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio VX MT,"J 6Block Rajouri Garden, Delhi",Jun 2013,"43,166 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.28 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio S MT,"J 6Block Rajouri Garden, Delhi",Jun 2013,"76,630 km",Petrol,Manual,Second,,,,,₹ 2.31 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2018 Honda Brio VX AT,"Banaswadi, Bangalore",Jun 2018,"50,130 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 6.13 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2014 Honda Brio VX AT,"Bakaram, Hyderabad",Jun 2014,"45,922 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.95 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2014 Honda Brio S MT,"Colaba, Mumbai",Jun 2014,"54,116 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.14 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2015 Honda Brio VX AT,"Industrial Area, Chandigarh",Jun 2015,"69,812 km",Petrol,Automatic,First,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.06 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2014 Honda Brio S MT,"Industrial Area, Chandigarh",Jun 2014,"26,064 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.52 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio VX AT,"Bakaram, Hyderabad",Jun 2013,"55,872 km",Petrol,Automatic,Third,16.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.81 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"44,452 km",Petrol,Manual,Second,,,,,₹ 3.77 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2015 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2015,"96,112 km",Petrol,Manual,First,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 3.54 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S(O)MT,"Surat H O, Surat",Jun 2012,"76,299 km",Petrol,Manual,Second,18.9 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder",87 bhp @ 6000 rpm,5 Person,₹ 2.28 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio V MT,"Surat H O, Surat",Jun 2012,"42,149 km",Petrol,Manual,Second,,,,,₹ 2.53 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2012,"69,287 km",Petrol,Manual,Third,,,,,₹ 3.04 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2012 Honda Brio S MT,"Bakaram, Hyderabad",Jun 2012,"40,198 km",Petrol,Manual,First,,,,,₹ 3.3 Lakh,"""- MRL Certified car with 140 quality checks - 0% Down payment financing available - 7-day easy return policy, no questions asked - Free 12-month warranty"" "
2013 Honda Brio V MT,"Bakaram, Hyderabad",Jun 2013,"60,993 km",Petrol,Manual,First,,,,,₹ 3.42 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2012 Honda Brio S MT,"Banaswadi, Bangalore",Jun 2012,"79,059 km",Petrol,Manual,Second,,,,,₹ 3.19 Lakh,"This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty* Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month "
2013 Honda Brio S(O)MT,"Dwarka, Delhi",Jun 2013,"58,395 km",Petrol,Manual,Second,18.9 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder",87 bhp @ 6000 rpm,5 Person,₹ 2.67 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2011 Honda Brio S MT,"Vijay Nagar, Ghaziabad",Jun 2011,"56,474 km",Petrol,Manual,First,,,,,₹ 2.42 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2015 Honda Brio E MT,"Hinjewadi, Pune",Jun 2015,"54,463 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 2.98 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2013 Honda Brio V MT,"Dwarka, Delhi",Jun 2013,"60,208 km",Petrol,Manual,Second,,,,,₹ 2.73 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2012 Honda Brio S(O)MT,"J 6Block Rajouri Garden, Delhi",Jun 2012,"83,888 km",Petrol,Manual,Second,18.9 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder",87 bhp @ 6000 rpm,5 Person,₹ 2.32 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2014 Honda Brio EX MT,"Dwarka, Delhi",Jun 2014,"34,824 km",Petrol,Manual,Second,19.4 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 2.99 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2012 Honda Brio S MT,"Shipra Sun City, Ghaziabad",Jun 2012,"67,844 km",Petrol,Manual,Second,,,,,₹ 2.45 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2012 Honda Brio V MT,"J 6Block Rajouri Garden, Delhi",Jun 2012,"52,687 km",Petrol,Manual,First,,,,,₹ 2.54 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
2018 Honda Brio S (O)MT,"Sector 33, Gurgaon",Jun 2018,"99,134 km",Petrol,Manual,First,18.5 kmpl,"1198 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",87 bhp @ 6000 rpm,5 Person,₹ 4.1 Lakh,5 Day moneyback 1 year warranty Free third party insurance and RC transfer 
