Name,Location,Year,Kilometers_Driven,Fuel_type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Seller Comments
2010 Honda Civic 1.8V AT Sunroof,"Uttam Nagar, Delhi",Aug 2010,"59,000 km",Petrol + Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 2.5 Lakh, 
2019 Honda Civic ZX CVT Petrol [2019-2020],"Thaltej, Ahmedabad",Oct 2019,"71,000 km",Petrol + Petrol,Automatic (CVT),First,16.5 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",140 bhp @ 6500 rpm,5 Person,₹ 12 Lakh, 
2008 Honda Civic 1.8V MT,"Govind Nagar, Mumbai",Nov 2008,"80,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.46 Lakh, 
2009 Honda Civic 1.8E MT,"Alipore Road, Kolkata",Aug 2009,"18,000 km",Petrol + Petrol,Manual,First,10.6 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 4 Lakh,Absolutely maintained by Company. All records available. Upgraded tyres. Upgraded Original Music System. Premium leather seats. 100% Showroom Condition. 
2006 Honda Civic 1.8S AT,Mumbai,Aug 2006,"72,500 km",Petrol + Petrol,Automatic,Second,9.4 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",132@6300,5 Person,₹ 1.5 Lakh, 
2020 Honda Civic ZX CVT Petrol [2019-2020],Gurdaspur,Jan 2020,"1,10,000 km",Petrol + Petrol,Automatic (CVT),Second,16.5 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder, SOHC",140 bhp @ 6500 rpm,5 Person,₹ 13.5 Lakh, 
2010 Honda Civic 1.8V AT,"Kalol, Kalol",Aug 2010,"87,000 km",Petrol,Automatic,Third,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
2009 Honda Civic 1.8V MT,Bangalore,Apr 2009,"1,20,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 4.68 Lakh, 
2010 Honda Civic 1.8V AT,Aurangabad,Sep 2010,"65,000 km",Petrol + Petrol,Automatic,First,13.9 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3 Lakh, 
2007 Honda Civic 1.8S MT,Chandigarh,Dec 2007,"65,483 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 1.6 Lakh, 
2008 Honda Civic 1.8S MT,Mumbai,Oct 2008,"75,000 km",Petrol + Petrol,Manual,Second,14.8 kmpl,"1799 cc, 4 Cylinders Inline, 4 Valves/Cylinder",130 bhp @ 6300 rpm,5 Person,₹ 3.5 Lakh, 
